"compound","0","1"
"Deoxycholic Acid",">= 89.92 µM","< 89.92 µM"
"Isodeoxycholic Acid",">= 0.97 µM","< 0.97 µM"
"Lithocholic Acid",">= 258.25 µM","< 258.25 µM"
"Desaminotyrosine",">= 21.31 µM","< 21.31 µM"
