ko_id
ko:K01560
ko:K07133
ko:K03558
ko:K03823
ko:K09471
ko:K00008
ko:K11689
ko:K07126
ko:K00657
ko:K00346
ko:K01784
ko:K02473
ko:K03076
ko:K02110
ko:K02124
ko:K01755
ko:K14681
ko:K08961
ko:K19049
ko:K07447
ko:K01873
ko:K03525
ko:K06207
ko:K17073
ko:K17074
ko:K17758
ko:K17759
ko:K13038
ko:K00763
ko:K01916
ko:K07720
ko:K02916
ko:K22373
ko:K02945
ko:K03527
ko:K17319
ko:K01812
ko:K01903
ko:K14067
ko:K03308
ko:K01190
ko:K03826
ko:K22477
ko:K03205
ko:K11717
ko:K14292
ko:K08990
ko:K00602
ko:K10119
ko:K01135
ko:K01995
ko:K01689
ko:K07407
ko:K00973
ko:K03281
ko:K02112
ko:K01887
ko:K01447
ko:K01358
ko:K06153
ko:K01421
ko:K02022
ko:K07718
ko:K04043
ko:K06223
ko:K03671
ko:K19002
ko:K00266
ko:K00528
ko:K02823
ko:K01775
ko:K02342
ko:K00176
ko:K02517
ko:K13993
ko:K00979
ko:K01847
ko:K03763
ko:K01424
ko:K14447
ko:K01834
ko:K19052
ko:K06393
ko:K20459
ko:K06911
ko:K00823
ko:K07250
ko:K07491
ko:K00441
ko:K03606
ko:K00262
ko:K00937
ko:K02341
ko:K02338
ko:K01790
ko:K01918
ko:K04720
ko:K13799
ko:K00852
ko:K02033
ko:K03110
ko:K01737
ko:K03657
ko:K06392
ko:K06962
ko:K00027
ko:K02020
ko:K02078
ko:K00845
ko:K01809
ko:K18682
ko:K07304
ko:K12267
ko:K07150
ko:K02377
ko:K07636
ko:K01953
ko:K07107
ko:K01547
ko:K01548
ko:K02314
ko:K06997
ko:K07271
ko:K02805
ko:K12992
ko:K06881
ko:K02114
ko:K02115
ko:K02111
ko:K02113
ko:K00949
ko:K00566
ko:K04488
ko:K13819
ko:K01338
ko:K08281
ko:K15771
ko:K01776
ko:K01939
ko:K02428
ko:K09128
ko:K12574
ko:K04567
ko:K20490
ko:K20491
ko:K20492
ko:K01630
ko:K00533
ko:K17320
ko:K21571
ko:K06919
ko:K07483
ko:K01198
ko:K01209
ko:K01179
ko:K07479
ko:K01449
ko:K02510
ko:K03588
ko:K07085
ko:K02119
ko:K13292
ko:K00175
ko:K00187
ko:K06406
ko:K03702
ko:K08999
ko:K03701
ko:K03040
ko:K05685
ko:K02967
ko:K09758
ko:K00790
ko:K07138
ko:K00655
ko:K01079
ko:K18697
ko:K07590
ko:K07742
ko:K03735
ko:K07444
ko:K10804
ko:K01885
ko:K09698
ko:K03629
ko:K07459
ko:K02496
ko:K06313
ko:K13543
ko:K01880
ko:K00265
ko:K01142
ko:K00284
ko:K05349
ko:K00278
ko:K00767
ko:K02172
ko:K03111
ko:K02963
ko:K01176
ko:K01448
ko:K06385
ko:K03925
ko:K09005
ko:K06898
ko:K09121
ko:K10117
ko:K03587
ko:K08384
ko:K08724
ko:K12552
ko:K12556
ko:K02557
ko:K09973
ko:K06417
ko:K02313
ko:K00941
ko:K03147
ko:K14153
ko:K09022
ko:K01897
ko:K00290
ko:K01197
ko:K01206
ko:K17624
ko:K01201
ko:K00230
ko:K02871
ko:K02371
ko:K03601
ko:K01104
ko:K20945
ko:K03783
ko:K03524
ko:K04096
ko:K21029
ko:K06915
ko:K03406
ko:K07273
ko:K01938
ko:K01756
ko:K00764
ko:K02988
ko:K02907
ko:K02876
ko:K01791
ko:K04077
ko:K00484
ko:K01875
ko:K15585
ko:K15586
ko:K00091
ko:K09955
ko:K03075
ko:K00145
ko:K00759
ko:K02954
ko:K13925
ko:K07090
ko:K02337
ko:K02017
ko:K02750
ko:K02757
ko:K02791
ko:K02804
ko:K02810
ko:K01222
ko:K01232
ko:K01213
